,time_str,latitude,longitude
246,2024-11-06T09:40:00.000-05:00,40.9746718,-73.7059277
247,2024-11-06T09:41:00.000-05:00,40.9752028,-73.7199925
248,2024-11-06T09:42:00.000-05:00,40.9674508,-73.7271196
249,2024-11-06T09:43:00.000-05:00,40.9623261,-73.7364741
250,2024-11-06T09:44:00.000-05:00,40.9603361,-73.7352689
251,2024-11-06T09:46:00.000-05:00,40.9601064,-73.73462
254,2024-11-06T16:09:00.000-05:00,40.960234,-73.7344969
255,2024-11-06T16:11:00.000-05:00,40.9625417,-73.7360755
256,2024-11-06T16:12:00.000-05:00,40.968024,-73.7378808
257,2024-11-06T16:12:00.000-05:00,40.9703649,-73.7423199
258,2024-11-06T16:15:00.000-05:00,40.9812591,-73.743403
259,2024-11-06T16:21:00.000-05:00,41.0198604,-73.7571563
260,2024-11-06T16:25:00.000-05:00,41.0324387,-73.7581205
261,2024-11-06T16:26:00.000-05:00,41.0332211,-73.7622429
262,2024-11-06T16:30:00.000-05:00,41.0454683,-73.7693255
263,2024-11-06T16:32:00.000-05:00,41.0424623,-73.7839717
264,2024-11-06T16:34:00.000-05:00,41.0447543,-73.7924976
265,2024-11-06T16:35:00.000-05:00,41.0462437,-73.7984751
267,2024-11-06T16:36:00.000-05:00,41.054971,-73.8081203
266,2024-11-06T16:36:00.000-05:00,41.0494217,-73.8069883
268,2024-11-06T16:38:00.000-05:00,41.0617055,-73.8356066
269,2024-11-06T16:40:00.000-05:00,41.0617102,-73.8377534
270,2024-11-06T16:54:00.000-05:00,41.0628488,-73.8392076
271,2024-11-06T16:57:00.000-05:00,41.0590123,-73.8283199
272,2024-11-06T16:58:00.000-05:00,41.0552225,-73.8105056
273,2024-11-06T16:59:00.000-05:00,41.0477387,-73.805057
276,2024-11-06T17:00:00.000-05:00,41.0424225,-73.7855414
277,2024-11-06T17:01:00.000-05:00,41.0439642,-73.7640908
278,2024-11-06T17:03:00.000-05:00,41.0306125,-73.7478074
279,2024-11-06T17:04:00.000-05:00,41.0292951,-73.7388926
280,2024-11-06T17:04:00.000-05:00,41.0248595,-73.7306548
281,2024-11-06T17:05:00.000-05:00,41.0169507,-73.7252044
282,2024-11-06T17:06:00.000-05:00,41.012734,-73.703759
283,2024-11-06T17:08:00.000-05:00,40.9946131,-73.6789104
284,2024-11-06T17:09:00.000-05:00,40.9907196,-73.6768058
285,2024-11-06T17:10:00.000-05:00,40.9876616,-73.6796984
286,2024-11-06T17:12:00.000-05:00,40.9747462,-73.7079306
287,2024-11-06T17:13:00.000-05:00,40.9752169,-73.7200018
288,2024-11-06T17:15:00.000-05:00,40.9616694,-73.7364604
289,2024-11-06T17:16:00.000-05:00,40.9611627,-73.7338651
290,2024-11-06T17:17:00.000-05:00,40.960042,-73.7344403
291,2024-11-06T17:18:00.000-05:00,40.9602808,-73.7344625
292,2024-11-06T17:29:00.000-05:00,40.9602247,-73.7346325
312,2024-11-07T08:08:00.000-05:00,40.9602462,-73.7346916
313,2024-11-07T08:09:00.000-05:00,40.9642259,-73.7354823
314,2024-11-07T08:10:00.000-05:00,40.9668522,-73.7361656
315,2024-11-07T08:11:00.000-05:00,40.9691954,-73.7417229
316,2024-11-07T08:16:00.000-05:00,41.0041884,-73.7502547
317,2024-11-07T08:20:00.000-05:00,41.0232502,-73.7579003
318,2024-11-07T08:22:00.000-05:00,41.0304934,-73.7581142
319,2024-11-07T08:23:00.000-05:00,41.035986,-73.7531617
320,2024-11-07T08:24:00.000-05:00,41.0459315,-73.7686889
321,2024-11-07T08:25:00.000-05:00,41.0432175,-73.7788513
322,2024-11-07T08:26:00.000-05:00,41.0462739,-73.7999754
323,2024-11-07T08:27:00.000-05:00,41.0581227,-73.8157936
324,2024-11-07T08:29:00.000-05:00,41.0608849,-73.83318
325,2024-11-07T08:30:00.000-05:00,41.0626082,-73.8362294
326,2024-11-07T08:31:00.000-05:00,41.0612644,-73.8392662
327,2024-11-07T08:40:00.000-05:00,41.0623965,-73.8398943
328,2024-11-07T08:43:00.000-05:00,41.0587466,-73.8253104
329,2024-11-07T08:44:00.000-05:00,41.0586108,-73.8218259
330,2024-11-07T08:45:00.000-05:00,41.0563925,-73.8168012
331,2024-11-07T08:45:00.000-05:00,41.0582097,-73.8184051
333,2024-11-07T08:47:00.000-05:00,41.0563315,-73.8126058
332,2024-11-07T08:47:00.000-05:00,41.0576522,-73.8144274
334,2024-11-07T08:50:00.000-05:00,41.0501344,-73.8079299
335,2024-11-07T08:51:00.000-05:00,41.0464876,-73.8020683
336,2024-11-07T08:53:00.000-05:00,41.0422392,-73.7843508
337,2024-11-07T08:54:00.000-05:00,41.0453659,-73.7663186
338,2024-11-07T08:56:00.000-05:00,41.0328982,-73.7547607
339,2024-11-07T08:56:00.000-05:00,41.0305802,-73.7582712
342,2024-11-07T09:02:00.000-05:00,41.0076378,-73.7520287
343,2024-11-07T09:04:00.000-05:00,40.9959179,-73.7459504
344,2024-11-07T09:08:00.000-05:00,40.971844,-73.7428813
345,2024-11-07T09:10:00.000-05:00,40.9650194,-73.7355359
346,2024-11-07T09:11:00.000-05:00,40.9606051,-73.7368083
347,2024-11-07T09:12:00.000-05:00,40.9603873,-73.7349063
349,2024-11-07T16:14:00.000-05:00,40.9603119,-73.7348505
351,2024-11-07T16:15:00.000-05:00,40.967728,-73.7367573
350,2024-11-07T16:15:00.000-05:00,40.9619905,-73.7362165
352,2024-11-07T16:16:00.000-05:00,40.970111,-73.7422012
353,2024-11-07T16:22:00.000-05:00,40.9987699,-73.7472299
354,2024-11-07T16:25:00.000-05:00,41.0217039,-73.757686
355,2024-11-07T16:27:00.000-05:00,41.0315714,-73.7575069
356,2024-11-07T16:28:00.000-05:00,41.0364301,-73.7535156
357,2024-11-07T16:32:00.000-05:00,41.0404444,-73.7613068
358,2024-11-07T16:34:00.000-05:00,41.0446222,-73.7645514
359,2024-11-07T16:35:00.000-05:00,41.0466364,-73.7690282
360,2024-11-07T16:37:00.000-05:00,41.0423975,-73.7836872
361,2024-11-07T16:38:00.000-05:00,41.0441145,-73.7910843
362,2024-11-07T16:39:00.000-05:00,41.0458196,-73.7935725
363,2024-11-07T16:39:00.000-05:00,41.046366,-73.8006958
364,2024-11-07T16:40:00.000-05:00,41.0509887,-73.8082741
365,2024-11-07T16:41:00.000-05:00,41.0569789,-73.8130621
366,2024-11-07T16:43:00.000-05:00,41.0623556,-73.8371291
367,2024-11-07T16:44:00.000-05:00,41.0615368,-73.8382215
368,2024-11-07T16:52:00.000-05:00,41.0629969,-73.8386823
369,2024-11-07T16:54:00.000-05:00,41.0586455,-73.8255081
370,2024-11-07T16:54:00.000-05:00,41.0580274,-73.816677
371,2024-11-07T16:56:00.000-05:00,41.0461647,-73.8002771
372,2024-11-07T16:57:00.000-05:00,41.0433408,-73.7777534
373,2024-11-07T16:58:00.000-05:00,41.0455615,-73.7668625
374,2024-11-07T16:59:00.000-05:00,41.0314309,-73.7511109
375,2024-11-07T17:00:00.000-05:00,41.029023,-73.7382243
378,2024-11-07T17:01:00.000-05:00,41.0146498,-73.7219956
379,2024-11-07T17:02:00.000-05:00,41.0138905,-73.7085599
380,2024-11-07T17:04:00.000-05:00,40.9944549,-73.6787869
381,2024-11-07T17:05:00.000-05:00,40.9876618,-73.6796731
382,2024-11-07T17:06:00.000-05:00,40.9768316,-73.6992693
384,2024-11-07T17:08:00.000-05:00,40.966988,-73.7274424
383,2024-11-07T17:08:00.000-05:00,40.9747756,-73.721625
385,2024-11-07T17:09:00.000-05:00,40.9623315,-73.7365116
386,2024-11-07T17:11:00.000-05:00,40.9604253,-73.7368661
387,2024-11-07T17:12:00.000-05:00,40.9611504,-73.7340646
388,2024-11-07T17:24:00.000-05:00,40.9602825,-73.7344614
389,2024-11-07T17:38:00.000-05:00,40.9603757,-73.7343357
395,2024-11-07T18:47:00.000-05:00,40.9602711,-73.7344692
403,2024-11-07T20:03:00.000-05:00,40.9602798,-73.7344614
405,2024-11-07T20:21:00.000-05:00,40.9602754,-73.7344552
406,2024-11-07T20:26:00.000-05:00,40.9602814,-73.7344564
410,2024-11-08T08:05:00.000-05:00,40.9602551,-73.7348415
411,2024-11-08T08:07:00.000-05:00,40.9676196,-73.7366542
412,2024-11-08T08:08:00.000-05:00,40.9671446,-73.740654
413,2024-11-08T08:10:00.000-05:00,40.9812502,-73.7437146
414,2024-11-08T08:13:00.000-05:00,41.0050116,-73.7203818
415,2024-11-08T08:13:00.000-05:00,41.0131059,-73.7172917
416,2024-11-08T08:15:00.000-05:00,41.0175016,-73.7253209
418,2024-11-08T08:16:00.000-05:00,41.0285256,-73.7368671
417,2024-11-08T08:16:00.000-05:00,41.0254824,-73.7312135
419,2024-11-08T08:17:00.000-05:00,41.030678,-73.7463922
420,2024-11-08T08:18:00.000-05:00,41.04349,-73.7635103
421,2024-11-08T08:19:00.000-05:00,41.0449276,-73.7729834
422,2024-11-08T08:20:00.000-05:00,41.0424537,-73.7847375
423,2024-11-08T08:21:00.000-05:00,41.0489391,-73.8065043
424,2024-11-08T08:22:00.000-05:00,41.0567499,-73.8118466
425,2024-11-08T08:24:00.000-05:00,41.0612782,-73.8392492
426,2024-11-08T08:38:00.000-05:00,41.0630856,-73.8389093
427,2024-11-08T08:43:00.000-05:00,41.0578132,-73.8150726
428,2024-11-08T08:44:00.000-05:00,41.0562057,-73.811434
429,2024-11-08T08:46:00.000-05:00,41.0476148,-73.8048203
430,2024-11-08T08:48:00.000-05:00,41.0427619,-73.7800022
431,2024-11-08T08:49:00.000-05:00,41.0447192,-73.770743
433,2024-11-08T08:50:00.000-05:00,41.0333984,-73.7535613
432,2024-11-08T08:50:00.000-05:00,41.0410994,-73.7623347
435,2024-11-08T08:52:00.000-05:00,41.0183158,-73.7260195
434,2024-11-08T08:52:00.000-05:00,41.0255528,-73.7302857
436,2024-11-08T08:53:00.000-05:00,41.0140284,-73.7177979
437,2024-11-08T08:54:00.000-05:00,41.0135029,-73.7062177
438,2024-11-08T08:56:00.000-05:00,40.9978585,-73.680789
439,2024-11-08T08:56:00.000-05:00,40.9905852,-73.6767347
440,2024-11-08T08:57:00.000-05:00,40.9886845,-73.6773559
441,2024-11-08T08:59:00.000-05:00,40.9748426,-73.704867
444,2024-11-08T09:00:00.000-05:00,40.9732565,-73.7241179
445,2024-11-08T09:01:00.000-05:00,40.9645728,-73.7301622
446,2024-11-08T09:02:00.000-05:00,40.9630539,-73.7368878
447,2024-11-08T09:03:00.000-05:00,40.959116,-73.737382
448,2024-11-08T09:05:00.000-05:00,40.9547422,-73.7298042
456,2024-11-08T09:05:36.000-05:00,40.9517157,-73.7278408
449,2024-11-08T09:06:00.000-05:00,40.9519601,-73.7278053
450,2024-11-08T09:10:00.000-05:00,40.9524717,-73.7279921
451,2024-11-08T09:12:00.000-05:00,40.9568382,-73.7313311
452,2024-11-08T09:13:00.000-05:00,40.9588016,-73.7363521
453,2024-11-08T09:15:00.000-05:00,40.9569053,-73.7337931
454,2024-11-08T09:15:00.000-05:00,40.9586779,-73.7320413
455,2024-11-08T09:17:00.000-05:00,40.960029,-73.7344123
458,2024-11-08T16:06:00.000-05:00,40.9601337,-73.7346826
459,2024-11-08T16:07:00.000-05:00,40.9643473,-73.7354612
460,2024-11-08T16:08:00.000-05:00,40.9678526,-73.7369874
461,2024-11-08T16:08:00.000-05:00,40.97084,-73.7425592
462,2024-11-08T16:14:00.000-05:00,41.0039053,-73.7501585
463,2024-11-08T16:18:00.000-05:00,41.0190664,-73.757061
464,2024-11-08T16:20:00.000-05:00,41.0192468,-73.764256
465,2024-11-08T16:21:00.000-05:00,41.0258658,-73.7673944
466,2024-11-08T16:22:00.000-05:00,41.0382947,-73.758437
467,2024-11-08T16:23:00.000-05:00,41.0270341,-73.7682833
468,2024-11-08T16:24:00.000-05:00,41.0328801,-73.770227
469,2024-11-08T16:27:00.000-05:00,41.0325916,-73.7738941
470,2024-11-08T16:28:00.000-05:00,41.0339417,-73.7773452
471,2024-11-08T16:31:00.000-05:00,41.0441723,-73.7885082
472,2024-11-08T16:32:00.000-05:00,41.0459371,-73.793895
473,2024-11-08T16:34:00.000-05:00,41.0466208,-73.8017574
474,2024-11-08T16:34:00.000-05:00,41.0482527,-73.8055298
475,2024-11-08T16:37:00.000-05:00,41.0569211,-73.8121182
476,2024-11-08T16:42:00.000-05:00,41.062432,-73.8374933
477,2024-11-08T16:43:00.000-05:00,41.061259,-73.8399958
478,2024-11-08T16:53:00.000-05:00,41.0626173,-73.8378631
479,2024-11-08T16:56:00.000-05:00,41.0578037,-73.8151221
480,2024-11-08T16:58:00.000-05:00,41.0475016,-73.8046514
481,2024-11-08T17:00:00.000-05:00,41.0431053,-73.7877012
484,2024-11-08T17:01:00.000-05:00,41.0455562,-73.7667774
485,2024-11-08T17:02:00.000-05:00,41.0315992,-73.7514385
486,2024-11-08T17:03:00.000-05:00,41.0298936,-73.7407669
487,2024-11-08T17:04:00.000-05:00,41.0269739,-73.7342342
488,2024-11-08T17:05:00.000-05:00,41.0140393,-73.717787
489,2024-11-08T17:06:00.000-05:00,41.0133999,-73.7057893
490,2024-11-08T17:07:00.000-05:00,41.0003699,-73.6842861
491,2024-11-08T17:08:00.000-05:00,40.9922715,-73.6776013
492,2024-11-08T17:09:00.000-05:00,40.9869882,-73.6820215
493,2024-11-08T17:10:00.000-05:00,40.9753023,-73.7025309
494,2024-11-08T17:11:00.000-05:00,40.9730909,-73.7242909
495,2024-11-08T17:12:00.000-05:00,40.9654045,-73.7290206
496,2024-11-08T17:13:00.000-05:00,40.9624185,-73.7371245
497,2024-11-08T17:14:00.000-05:00,40.9602413,-73.7367576
498,2024-11-08T17:15:00.000-05:00,40.9610682,-73.7341713
499,2024-11-08T17:23:00.000-05:00,40.9602809,-73.7344814
500,2024-11-08T17:39:00.000-05:00,40.9602747,-73.7344635
514,2024-11-08T19:58:00.000-05:00,40.9602779,-73.7344631
515,2024-11-08T20:17:00.000-05:00,40.960292,-73.7344707
516,2024-11-08T20:29:00.000-05:00,40.9602861,-73.7344839
521,2024-11-08T21:33:00.000-05:00,40.9603004,-73.7343417
531,2024-11-09T00:04:00.000-05:00,40.9602775,-73.7344612
532,2024-11-09T00:06:00.000-05:00,40.9602811,-73.7344615
533,2024-11-09T00:28:00.000-05:00,40.9602684,-73.7344553
